id;username;pageid;contentid;langcode;created;text;sentences;score;result
1;Supervisor;Shoes 6th Israel;magenta Arizona;4th;2022-12-13T15:07:26;Distributed Fresh Senior;70459;84278;VERY_POSITIVE
2;Bacon;Frozen Intranet;Awesome robust RSS;Island;2022-12-13T12:06:17;calculating Directives virtual;47599;65252;POSITIVE
3;quantify connecting Shoes;Malaysia content;defect Oklahoma;software iterate;2022-12-13T11:36:28;Concrete navigating;98656;40201;VERY_NEGATIVE
4;Squares Mobility Concrete;capacitor ivory;Minnesota Regional;bypass systemic;2022-12-13T11:54:30;Rupee;31713;83758;NEUTRAL
5;Program;upward-trending vortals;Frozen Surinam;mint Generic;2022-12-12T20:10:43;Palau Mobility;66002;34876;UNDETERMINED
6;administration Personal Avon;Global primary;calculating;Avon;2022-12-13T01:25:43;enhance Clothing directional;44402;32670;NEGATIVE
7;Corners Dollar Usability;Shirt flexibility;Director;Markets;2022-12-13T02:27:18;deposit Progressive;99088;28281;NEUTRAL
8;Ball;Visionary;navigate Borders;Salad primary;2022-12-13T09:05:37;Data Centralized;59282;7448;VERY_POSITIVE
9;overriding generate;Tuna evolve Awesome;New bandwidth benchmark;Tasty Seychelles;2022-12-13T04:45:20;Texas Dinar;92879;84940;VERY_POSITIVE
10;robust;United;HDD state approach;Frozen Cambridgeshire payment;2022-12-13T02:46:15;Illinois Dynamic haptic;93125;84364;POSITIVE
